state,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,1,0.4539,0.5766,0.5429,0.2618,0.5963,0.3,0.265,0.3345,0.282,0.2437,0.6699,0.6914,0.2989,0.6402,0.7185,0.6819,0.3172,0.2748,0.2642,0.54,0.5464,0.6334,0.6182,0.3504,0.6768,0.5306,0.6936,0.6123,0.5067,0.2377,0.3664,0.3495,0.2069,0.5732,0.6804,0.6334,0.5303,0.3868,0.4145,0.7082,0.5689,0.4091,0.5859,0.3542,0.4448,0.5806,0.6169,0.6191,0.6734
AL,0.4539,1,0.6992,0.2734,0.2597,0.334,0.2685,0.4637,0.428,0.685,0.2325,0.6261,0.5351,0.2073,0.6694,0.6472,0.7032,0.7014,0.2403,0.2275,0.5085,0.6378,0.5602,0.6938,0.7027,0.6117,0.7923,0.5786,0.5016,0.4561,0.2542,0.2408,0.233,0.2379,0.653,0.6725,0.4916,0.5685,0.2522,0.7982,0.5821,0.7253,0.247,0.3113,0.5361,0.3911,0.3367,0.5725,0.692,0.5922
AR,0.5766,0.6992,1,0.343,0.2712,0.4192,0.2206,0.3989,0.4138,0.5451,0.2511,0.6325,0.5728,0.2103,0.679,0.6855,0.7186,0.5725,0.2092,0.2127,0.5055,0.6154,0.5619,0.6767,0.5839,0.6257,0.7282,0.6286,0.527,0.4586,0.2355,0.2503,0.2501,0.2172,0.6366,0.6945,0.5287,0.5551,0.2595,0.6907,0.6378,0.7366,0.2562,0.3512,0.4773,0.3928,0.4055,0.5842,0.6846,0.6308
AZ,0.5429,0.2734,0.343,1,0.5964,0.6268,0.5183,0.3875,0.6405,0.3028,0.4863,0.5127,0.5257,0.5447,0.4684,0.4615,0.458,0.2709,0.4936,0.2784,0.4935,0.5458,0.5219,0.4556,0.2827,0.4791,0.3576,0.4234,0.4953,0.488,0.5395,0.6002,0.7833,0.5312,0.5368,0.4322,0.5694,0.5835,0.5758,0.3176,0.4684,0.3623,0.6044,0.5331,0.3492,0.4068,0.6881,0.5565,0.4409,0.4273
CA,0.2618,0.2597,0.2712,0.5964,1,0.3283,0.3152,0.2276,0.3741,0.2738,0.6932,0.2554,0.2548,0.3414,0.258,0.2605,0.2694,0.23,0.3227,0.2451,0.2472,0.2862,0.2881,0.2557,0.266,0.2681,0.2993,0.2457,0.2517,0.262,0.5253,0.6403,0.6197,0.5638,0.2806,0.2607,0.2506,0.2975,0.3299,0.2888,0.2526,0.2707,0.6161,0.2722,0.25,0.2456,0.3593,0.2867,0.2463,0.2364
CO,0.5963,0.334,0.4192,0.6268,0.3283,1,0.5423,0.3695,0.4454,0.3001,0.2657,0.6549,0.6371,0.5157,0.5918,0.6755,0.5875,0.2672,0.5791,0.2948,0.5801,0.6067,0.7357,0.6035,0.2724,0.6371,0.4542,0.6114,0.6308,0.6271,0.4521,0.3158,0.4157,0.3962,0.6362,0.5266,0.704,0.6631,0.5904,0.3361,0.6069,0.4854,0.3159,0.6547,0.5793,0.5178,0.7707,0.6673,0.5474,0.5606
CT,0.3,0.2685,0.2206,0.5183,0.3152,0.5423,1,0.5993,0.5918,0.287,0.2883,0.5113,0.3983,0.5816,0.3637,0.3542,0.3378,0.2625,0.7365,0.4569,0.6159,0.569,0.5689,0.417,0.2396,0.4965,0.3354,0.3521,0.4177,0.6573,0.619,0.3172,0.4344,0.5202,0.5296,0.2403,0.5213,0.6429,0.6875,0.2815,0.4065,0.2583,0.2625,0.3979,0.5904,0.6407,0.62,0.6047,0.3894,0.3232
DE,0.265,0.4637,0.3989,0.3875,0.2276,0.3695,0.5993,1,0.6489,0.5151,0.2169,0.6083,0.446,0.5797,0.5391,0.4279,0.4947,0.5,0.5049,0.4642,0.6451,0.7187,0.5869,0.5725,0.3871,0.5531,0.5792,0.4213,0.4608,0.6284,0.4417,0.2626,0.3899,0.3992,0.6793,0.2954,0.5054,0.7233,0.5949,0.5651,0.4715,0.4385,0.2422,0.3536,0.6958,0.5819,0.4985,0.6644,0.5195,0.4147
FL,0.3345,0.428,0.4138,0.6405,0.3741,0.4454,0.5918,0.6489,1,0.4057,0.3355,0.5386,0.444,0.5684,0.5036,0.4302,0.4925,0.3915,0.4739,0.3761,0.614,0.6805,0.5306,0.5285,0.3453,0.533,0.5227,0.3524,0.4354,0.58,0.5595,0.4395,0.6424,0.5022,0.6333,0.4052,0.5741,0.7295,0.5964,0.5096,0.437,0.4609,0.3516,0.293,0.5556,0.4948,0.5693,0.6161,0.5374,0.4192
GA,0.282,0.685,0.5451,0.3028,0.2738,0.3001,0.287,0.5151,0.4057,1,0.2497,0.4786,0.3885,0.2609,0.5544,0.4708,0.5375,0.759,0.2806,0.3247,0.3644,0.5652,0.4081,0.5632,0.7509,0.4062,0.7054,0.411,0.3678,0.305,0.3054,0.2973,0.2847,0.2993,0.5676,0.4862,0.3281,0.4842,0.2753,0.7433,0.4124,0.6008,0.3028,0.2965,0.5288,0.2755,0.2901,0.4439,0.5138,0.4072
HI,0.2437,0.2325,0.2511,0.4863,0.6932,0.2657,0.2883,0.2169,0.3355,0.2497,1,0.2432,0.2405,0.1862,0.2488,0.2526,0.2506,0.2297,0.2445,0.1979,0.2441,0.2587,0.2652,0.2453,0.2164,0.2524,0.2678,0.25,0.2314,0.2451,0.4223,0.694,0.4827,0.3696,0.2618,0.2423,0.2433,0.2639,0.2432,0.2443,0.2455,0.2593,0.4968,0.2536,0.2387,0.2336,0.2613,0.2576,0.2253,0.2409
IA,0.6699,0.6261,0.6325,0.5127,0.2554,0.6549,0.5113,0.6083,0.5386,0.4786,0.2432,1,0.7686,0.4774,0.8064,0.7974,0.7949,0.5205,0.4576,0.295,0.7888,0.8377,0.8351,0.8295,0.489,0.8534,0.7356,0.7708,0.7357,0.7476,0.2881,0.289,0.3548,0.2651,0.8373,0.6389,0.771,0.8055,0.5665,0.6561,0.7833,0.6784,0.2846,0.5831,0.6777,0.6589,0.6801,0.8562,0.7753,0.727
ID,0.6914,0.5351,0.5728,0.5257,0.2548,0.6371,0.3983,0.446,0.444,0.3885,0.2405,0.7686,1,0.4173,0.7452,0.7587,0.7452,0.4487,0.3709,0.2716,0.6317,0.7127,0.7429,0.7475,0.3947,0.739,0.6228,0.7555,0.7309,0.6164,0.2448,0.2669,0.3582,0.2286,0.7221,0.6381,0.7106,0.6873,0.4781,0.5327,0.7439,0.6107,0.2939,0.6435,0.5401,0.5105,0.6385,0.7338,0.6966,0.7173
IL,0.2989,0.2073,0.2103,0.5447,0.3414,0.5157,0.5816,0.5797,0.5684,0.2609,0.1862,0.4774,0.4173,1,0.4279,0.3704,0.3539,0.2668,0.5764,0.4465,0.4805,0.5734,0.5362,0.4244,0.1985,0.4068,0.3483,0.3288,0.4367,0.5033,0.5522,0.2614,0.5432,0.5824,0.5544,0.2203,0.5093,0.619,0.6742,0.2883,0.3689,0.2928,0.2512,0.4995,0.5235,0.4315,0.6098,0.5499,0.3487,0.3016
IN,0.6402,0.6694,0.679,0.4684,0.258,0.5918,0.3637,0.5391,0.5036,0.5544,0.2488,0.8064,0.7452,0.4279,1,0.7857,0.8061,0.5803,0.3183,0.256,0.6397,0.7961,0.7715,0.8083,0.5441,0.7531,0.7714,0.7502,0.7079,0.5955,0.2461,0.2568,0.3433,0.2448,0.8041,0.691,0.7103,0.7401,0.4652,0.695,0.739,0.7312,0.2563,0.5809,0.6143,0.4899,0.6048,0.7678,0.7584,0.7086
KS,0.7185,0.6472,0.6855,0.4615,0.2605,0.6755,0.3542,0.4279,0.4302,0.4708,0.2526,0.7974,0.7587,0.3704,0.7857,1,0.8203,0.4956,0.3353,0.2557,0.6378,0.7282,0.7725,0.8003,0.497,0.791,0.7303,0.7845,0.7195,0.6123,0.2541,0.265,0.2758,0.2323,0.7507,0.7375,0.7285,0.6956,0.4245,0.638,0.7684,0.7354,0.2549,0.5845,0.6047,0.5041,0.6131,0.7349,0.7708,0.7552
KY,0.6819,0.7032,0.7186,0.458,0.2694,0.5875,0.3378,0.4947,0.4925,0.5375,0.2506,0.7949,0.7452,0.3539,0.8061,0.8203,1,0.5741,0.2849,0.237,0.6571,0.7673,0.745,0.8145,0.5543,0.7872,0.7894,0.7642,0.6931,0.6097,0.2409,0.2638,0.2999,0.2231,0.78,0.7443,0.7069,0.7166,0.4139,0.72,0.7689,0.7665,0.2736,0.5251,0.5992,0.5042,0.5765,0.7551,0.7772,0.755
LA,0.3172,0.7014,0.5725,0.2709,0.23,0.2672,0.2625,0.5,0.3915,0.759,0.2297,0.5205,0.4487,0.2668,0.5803,0.4956,0.5741,1,0.2536,0.2596,0.4053,0.5915,0.4497,0.5874,0.7166,0.4563,0.6855,0.4785,0.4286,0.3483,0.2651,0.2317,0.258,0.2361,0.5975,0.5014,0.3639,0.5042,0.2425,0.7415,0.4499,0.6008,0.2401,0.3187,0.4943,0.299,0.2804,0.4965,0.5467,0.4605
MA,0.2748,0.2403,0.2092,0.4936,0.3227,0.5791,0.7365,0.5049,0.4739,0.2806,0.2445,0.4576,0.3709,0.5764,0.3183,0.3353,0.2849,0.2536,1,0.4586,0.5454,0.5005,0.5506,0.3854,0.2473,0.4303,0.2775,0.3237,0.4114,0.6244,0.6545,0.2833,0.4187,0.562,0.4823,0.2068,0.4933,0.583,0.6525,0.2566,0.364,0.2203,0.2601,0.4728,0.5664,0.5728,0.6307,0.5505,0.3083,0.2912
MD,0.2642,0.2275,0.2127,0.2784,0.2451,0.2948,0.4569,0.4642,0.3761,0.3247,0.1979,0.295,0.2716,0.4465,0.256,0.2557,0.237,0.2596,0.4586,1,0.2771,0.3391,0.2969,0.2639,0.2027,0.281,0.2659,0.2314,0.2234,0.3187,0.5342,0.2263,0.2555,0.5481,0.2974,0.2464,0.2744,0.3735,0.3856,0.2337,0.266,0.2243,0.2644,0.3049,0.4393,0.3062,0.2789,0.3012,0.2531,0.2222
ME,0.54,0.5085,0.5055,0.4935,0.2472,0.5801,0.6159,0.6451,0.614,0.3644,0.2441,0.7888,0.6317,0.4805,0.6397,0.6378,0.6571,0.4053,0.5454,0.2771,1,0.7872,0.7848,0.714,0.3853,0.7961,0.634,0.624,0.6453,0.8195,0.388,0.2953,0.3619,0.2907,0.7553,0.482,0.7138,0.7948,0.6166,0.5688,0.6863,0.5492,0.2704,0.4468,0.6709,0.7616,0.6668,0.8265,0.6949,0.6119
MI,0.5464,0.6378,0.6154,0.5458,0.2862,0.6067,0.569,0.7187,0.6805,0.5652,0.2587,0.8377,0.7127,0.5734,0.7961,0.7282,0.7673,0.5915,0.5005,0.3391,0.7872,1,0.8159,0.8166,0.5115,0.7887,0.7674,0.688,0.701,0.746,0.3974,0.3012,0.4565,0.3696,0.8827,0.5804,0.7496,0.8722,0.6285,0.7132,0.72,0.6778,0.3014,0.57,0.7497,0.6464,0.6921,0.8623,0.7489,0.6613
MN,0.6334,0.5602,0.5619,0.5219,0.2881,0.7357,0.5689,0.5869,0.5306,0.4081,0.2652,0.8351,0.7429,0.5362,0.7715,0.7725,0.745,0.4497,0.5506,0.2969,0.7848,0.8159,1,0.7997,0.398,0.8186,0.6729,0.745,0.7512,0.7837,0.3682,0.2811,0.3578,0.3155,0.8263,0.5922,0.7921,0.8201,0.615,0.5804,0.7625,0.6358,0.2763,0.6457,0.737,0.6828,0.7492,0.8554,0.7248,0.6884
MO,0.6182,0.6938,0.6767,0.4556,0.2557,0.6035,0.417,0.5725,0.5285,0.5632,0.2453,0.8295,0.7475,0.4244,0.8083,0.8003,0.8145,0.5874,0.3854,0.2639,0.714,0.8166,0.7997,1,0.5522,0.7928,0.7887,0.7488,0.7164,0.667,0.2742,0.2742,0.3207,0.2394,0.8283,0.6701,0.7255,0.7678,0.4868,0.7241,0.7566,0.746,0.2597,0.5609,0.6846,0.5565,0.6166,0.805,0.7758,0.7169
MS,0.3504,0.7027,0.5839,0.2827,0.266,0.2724,0.2396,0.3871,0.3453,0.7509,0.2164,0.489,0.3947,0.1985,0.5441,0.497,0.5543,0.7166,0.2473,0.2027,0.3853,0.5115,0.398,0.5522,1,0.4526,0.6781,0.4507,0.3684,0.3023,0.2734,0.2571,0.2602,0.2637,0.523,0.5425,0.331,0.4394,0.2499,0.7294,0.4461,0.6111,0.2519,0.2684,0.4164,0.2787,0.2688,0.4434,0.5537,0.4212
MT,0.6768,0.6117,0.6257,0.4791,0.2681,0.6371,0.4965,0.5531,0.533,0.4062,0.2524,0.8534,0.739,0.4068,0.7531,0.791,0.7872,0.4563,0.4303,0.281,0.7961,0.7887,0.8186,0.7928,0.4526,1,0.7074,0.7544,0.7156,0.7574,0.2731,0.2877,0.3023,0.2439,0.7878,0.6422,0.7519,0.768,0.5236,0.6287,0.7901,0.6767,0.2937,0.5155,0.6568,0.6714,0.6548,0.82,0.7826,0.7455
NC,0.5306,0.7923,0.7282,0.3576,0.2993,0.4542,0.3354,0.5792,0.5227,0.7054,0.2678,0.7356,0.6228,0.3483,0.7714,0.7303,0.7894,0.6855,0.2775,0.2659,0.634,0.7674,0.6729,0.7887,0.6781,0.7074,1,0.6587,0.5834,0.5615,0.28,0.2904,0.294,0.2656,0.7699,0.6746,0.6089,0.6899,0.382,0.8328,0.6768,0.7823,0.2854,0.3892,0.6543,0.4878,0.4685,0.7043,0.7626,0.647
ND,0.6936,0.5786,0.6286,0.4234,0.2457,0.6114,0.3521,0.4213,0.3524,0.411,0.25,0.7708,0.7555,0.3288,0.7502,0.7845,0.7642,0.4785,0.3237,0.2314,0.624,0.688,0.745,0.7488,0.4507,0.7544,0.6587,1,0.7017,0.6133,0.2169,0.2458,0.2349,0.1941,0.7073,0.6594,0.6625,0.6576,0.4256,0.5701,0.7593,0.6666,0.239,0.6129,0.5521,0.5198,0.5915,0.7216,0.705,0.7459
NE,0.6123,0.5016,0.527,0.4953,0.2517,0.6308,0.4177,0.4608,0.4354,0.3678,0.2314,0.7357,0.7309,0.4367,0.7079,0.7195,0.6931,0.4286,0.4114,0.2234,0.6453,0.701,0.7512,0.7164,0.3684,0.7156,0.5834,0.7017,1,0.6331,0.2663,0.2632,0.3422,0.2093,0.7151,0.5518,0.6766,0.6866,0.505,0.5183,0.6936,0.5791,0.2545,0.6239,0.5713,0.5298,0.649,0.7301,0.6354,0.6664
NH,0.5067,0.4561,0.4586,0.488,0.262,0.6271,0.6573,0.6284,0.58,0.305,0.2451,0.7476,0.6164,0.5033,0.5955,0.6123,0.6097,0.3483,0.6244,0.3187,0.8195,0.746,0.7837,0.667,0.3023,0.7574,0.5615,0.6133,0.6331,1,0.4398,0.268,0.3467,0.3424,0.7232,0.437,0.7085,0.7836,0.6555,0.4929,0.6571,0.4956,0.2649,0.4973,0.693,0.7669,0.693,0.802,0.6364,0.5891
NJ,0.2377,0.2542,0.2355,0.5395,0.5253,0.4521,0.619,0.4417,0.5595,0.3054,0.4223,0.2881,0.2448,0.5522,0.2461,0.2541,0.2409,0.2651,0.6545,0.5342,0.388,0.3974,0.3682,0.2742,0.2734,0.2731,0.28,0.2169,0.2663,0.4398,1,0.4138,0.5611,0.7479,0.3689,0.2416,0.3653,0.4767,0.5773,0.2611,0.2677,0.2681,0.3038,0.3593,0.4086,0.4012,0.5111,0.3993,0.2658,0.2373
NM,0.3664,0.2408,0.2503,0.6002,0.6403,0.3158,0.3172,0.2626,0.4395,0.2973,0.694,0.289,0.2669,0.2614,0.2568,0.265,0.2638,0.2317,0.2833,0.2263,0.2953,0.3012,0.2811,0.2742,0.2571,0.2877,0.2904,0.2458,0.2632,0.268,0.4138,1,0.5798,0.3476,0.3027,0.2318,0.2966,0.3002,0.3357,0.2748,0.2739,0.26,0.574,0.243,0.2616,0.2724,0.3778,0.2893,0.2504,0.2362
NV,0.3495,0.233,0.2501,0.7833,0.6197,0.4157,0.4344,0.3899,0.6424,0.2847,0.4827,0.3548,0.3582,0.5432,0.3433,0.2758,0.2999,0.258,0.4187,0.2555,0.3619,0.4565,0.3578,0.3207,0.2602,0.3023,0.294,0.2349,0.3422,0.3467,0.5611,0.5798,1,0.5979,0.4349,0.2807,0.4138,0.4853,0.5174,0.2843,0.289,0.2598,0.5999,0.4294,0.2609,0.2856,0.5466,0.4217,0.2972,0.2599
NY,0.2069,0.2379,0.2172,0.5312,0.5638,0.3962,0.5202,0.3992,0.5022,0.2993,0.3696,0.2651,0.2286,0.5824,0.2448,0.2323,0.2231,0.2361,0.562,0.5481,0.2907,0.3696,0.3155,0.2394,0.2637,0.2439,0.2656,0.1941,0.2093,0.3424,0.7479,0.3476,0.5979,1,0.3349,0.2388,0.3194,0.4321,0.5244,0.2472,0.2299,0.2351,0.368,0.387,0.366,0.2928,0.4645,0.3373,0.2357,0.1984
OH,0.5732,0.653,0.6366,0.5368,0.2806,0.6362,0.5296,0.6793,0.6333,0.5676,0.2618,0.8373,0.7221,0.5544,0.8041,0.7507,0.78,0.5975,0.4823,0.2974,0.7553,0.8827,0.8263,0.8283,0.523,0.7878,0.7699,0.7073,0.7151,0.7232,0.3689,0.3027,0.4349,0.3349,1,0.6026,0.7532,0.8522,0.5986,0.714,0.7305,0.6955,0.2854,0.5999,0.7385,0.6135,0.6935,0.8579,0.7608,0.6813
OK,0.6804,0.6725,0.6945,0.4322,0.2607,0.5266,0.2403,0.2954,0.4052,0.4862,0.2423,0.6389,0.6381,0.2203,0.691,0.7375,0.7443,0.5014,0.2068,0.2464,0.482,0.5804,0.5922,0.6701,0.5425,0.6422,0.6746,0.6594,0.5518,0.437,0.2416,0.2318,0.2807,0.2388,0.6026,1,0.591,0.5455,0.2488,0.6089,0.6599,0.7048,0.3525,0.4448,0.4297,0.339,0.4435,0.5608,0.6971,0.6705
OR,0.6334,0.4916,0.5287,0.5694,0.2506,0.704,0.5213,0.5054,0.5741,0.3281,0.2433,0.771,0.7106,0.5093,0.7103,0.7285,0.7069,0.3639,0.4933,0.2744,0.7138,0.7496,0.7921,0.7255,0.331,0.7519,0.6089,0.6625,0.6766,0.7085,0.3653,0.2966,0.4138,0.3194,0.7532,0.591,1,0.7733,0.5888,0.5127,0.6963,0.5897,0.2472,0.5704,0.6173,0.6002,0.7256,0.7812,0.689,0.6405
PA,0.5303,0.5685,0.5551,0.5835,0.2975,0.6631,0.6429,0.7233,0.7295,0.4842,0.2639,0.8055,0.6873,0.619,0.7401,0.6956,0.7166,0.5042,0.583,0.3735,0.7948,0.8722,0.8201,0.7678,0.4394,0.768,0.6899,0.6576,0.6866,0.7836,0.4767,0.3002,0.4853,0.4321,0.8522,0.5455,0.7733,1,0.6856,0.6322,0.6934,0.6191,0.2957,0.572,0.7551,0.6811,0.7367,0.8572,0.7197,0.6344
RI,0.3868,0.2522,0.2595,0.5758,0.3299,0.5904,0.6875,0.5949,0.5964,0.2753,0.2432,0.5665,0.4781,0.6742,0.4652,0.4245,0.4139,0.2425,0.6525,0.3856,0.6166,0.6285,0.615,0.4868,0.2499,0.5236,0.382,0.4256,0.505,0.6555,0.5773,0.3357,0.5174,0.5244,0.5986,0.2488,0.5888,0.6856,1,0.3174,0.4582,0.3275,0.2395,0.5207,0.5708,0.5911,0.7192,0.6424,0.4353,0.3925
SC,0.4145,0.7982,0.6907,0.3176,0.2888,0.3361,0.2815,0.5651,0.5096,0.7433,0.2443,0.6561,0.5327,0.2883,0.695,0.638,0.72,0.7415,0.2566,0.2337,0.5688,0.7132,0.5804,0.7241,0.7294,0.6287,0.8328,0.5701,0.5183,0.4929,0.2611,0.2748,0.2843,0.2472,0.714,0.6089,0.5127,0.6322,0.3174,1,0.5831,0.7388,0.2784,0.3086,0.6036,0.4303,0.3652,0.6302,0.7052,0.5835
SD,0.7082,0.5821,0.6378,0.4684,0.2526,0.6069,0.4065,0.4715,0.437,0.4124,0.2455,0.7833,0.7439,0.3689,0.739,0.7684,0.7689,0.4499,0.364,0.266,0.6863,0.72,0.7625,0.7566,0.4461,0.7901,0.6768,0.7593,0.6936,0.6571,0.2677,0.2739,0.289,0.2299,0.7305,0.6599,0.6963,0.6934,0.4582,0.5831,1,0.6728,0.2582,0.5626,0.5674,0.5821,0.6113,0.7503,0.7366,0.7379
TN,0.5689,0.7253,0.7366,0.3623,0.2707,0.4854,0.2583,0.4385,0.4609,0.6008,0.2593,0.6784,0.6107,0.2928,0.7312,0.7354,0.7665,0.6008,0.2203,0.2243,0.5492,0.6778,0.6358,0.746,0.6111,0.6767,0.7823,0.6666,0.5791,0.4956,0.2681,0.26,0.2598,0.2351,0.6955,0.7048,0.5897,0.6191,0.3275,0.7388,0.6728,1,0.2523,0.4072,0.5581,0.4086,0.4608,0.6375,0.722,0.6586
TX,0.4091,0.247,0.2562,0.6044,0.6161,0.3159,0.2625,0.2422,0.3516,0.3028,0.4968,0.2846,0.2939,0.2512,0.2563,0.2549,0.2736,0.2401,0.2601,0.2644,0.2704,0.3014,0.2763,0.2597,0.2519,0.2937,0.2854,0.239,0.2545,0.2649,0.3038,0.574,0.5999,0.368,0.2854,0.3525,0.2472,0.2957,0.2395,0.2784,0.2582,0.2523,1,0.3331,0.2503,0.2501,0.3006,0.2906,0.2523,0.2473
UT,0.5859,0.3113,0.3512,0.5331,0.2722,0.6547,0.3979,0.3536,0.293,0.2965,0.2536,0.5831,0.6435,0.4995,0.5809,0.5845,0.5251,0.3187,0.4728,0.3049,0.4468,0.57,0.6457,0.5609,0.2684,0.5155,0.3892,0.6129,0.6239,0.4973,0.3593,0.243,0.4294,0.387,0.5999,0.4448,0.5704,0.572,0.5207,0.3086,0.5626,0.4072,0.3331,1,0.4535,0.3751,0.6403,0.6014,0.4433,0.5304
VA,0.3542,0.5361,0.4773,0.3492,0.25,0.5793,0.5904,0.6958,0.5556,0.5288,0.2387,0.6777,0.5401,0.5235,0.6143,0.6047,0.5992,0.4943,0.5664,0.4393,0.6709,0.7497,0.737,0.6846,0.4164,0.6568,0.6543,0.5521,0.5713,0.693,0.4086,0.2616,0.2609,0.366,0.7385,0.4297,0.6173,0.7551,0.5708,0.6036,0.5674,0.5581,0.2503,0.4535,1,0.6176,0.5661,0.7105,0.5939,0.5144
VT,0.4448,0.3911,0.3928,0.4068,0.2456,0.5178,0.6407,0.5819,0.4948,0.2755,0.2336,0.6589,0.5105,0.4315,0.4899,0.5041,0.5042,0.299,0.5728,0.3062,0.7616,0.6464,0.6828,0.5565,0.2787,0.6714,0.4878,0.5198,0.5298,0.7669,0.4012,0.2724,0.2856,0.2928,0.6135,0.339,0.6002,0.6811,0.5911,0.4303,0.5821,0.4086,0.2501,0.3751,0.6176,1,0.5916,0.7171,0.5433,0.495
WA,0.5806,0.3367,0.4055,0.6881,0.3593,0.7707,0.62,0.4985,0.5693,0.2901,0.2613,0.6801,0.6385,0.6098,0.6048,0.6131,0.5765,0.2804,0.6307,0.2789,0.6668,0.6921,0.7492,0.6166,0.2688,0.6548,0.4685,0.5915,0.649,0.693,0.5111,0.3778,0.5466,0.4645,0.6935,0.4435,0.7256,0.7367,0.7192,0.3652,0.6113,0.4608,0.3006,0.6403,0.5661,0.5916,1,0.7383,0.5554,0.5488
WI,0.6169,0.5725,0.5842,0.5565,0.2867,0.6673,0.6047,0.6644,0.6161,0.4439,0.2576,0.8562,0.7338,0.5499,0.7678,0.7349,0.7551,0.4965,0.5505,0.3012,0.8265,0.8623,0.8554,0.805,0.4434,0.82,0.7043,0.7216,0.7301,0.802,0.3993,0.2893,0.4217,0.3373,0.8579,0.5608,0.7812,0.8572,0.6424,0.6302,0.7503,0.6375,0.2906,0.6014,0.7105,0.7171,0.7383,1,0.7367,0.6845
WV,0.6191,0.692,0.6846,0.4409,0.2463,0.5474,0.3894,0.5195,0.5374,0.5138,0.2253,0.7753,0.6966,0.3487,0.7584,0.7708,0.7772,0.5467,0.3083,0.2531,0.6949,0.7489,0.7248,0.7758,0.5537,0.7826,0.7626,0.705,0.6354,0.6364,0.2658,0.2504,0.2972,0.2357,0.7608,0.6971,0.689,0.7197,0.4353,0.7052,0.7366,0.722,0.2523,0.4433,0.5939,0.5433,0.5554,0.7367,1,0.708
WY,0.6734,0.5922,0.6308,0.4273,0.2364,0.5606,0.3232,0.4147,0.4192,0.4072,0.2409,0.727,0.7173,0.3016,0.7086,0.7552,0.755,0.4605,0.2912,0.2222,0.6119,0.6613,0.6884,0.7169,0.4212,0.7455,0.647,0.7459,0.6664,0.5891,0.2373,0.2362,0.2599,0.1984,0.6813,0.6705,0.6405,0.6344,0.3925,0.5835,0.7379,0.6586,0.2473,0.5304,0.5144,0.495,0.5488,0.6845,0.708,1
